EmployeeID,First Name,Last Name,Department,Country,HireDate,Salary,Email
1098,Olga,Yusupova,MARKETING,U.S.A.,21.06.2018,N/A,olga.yusupova@company.com
1099,Grace,Johnson,SALES,Germany,02.08.2015,9081,grace.johnson@company.com
1100,Nodir,Karimov,Finance,france,12-02-2024,N/A,nodir.karimov@company.com
1100,Nodir,Karimov,Finance,france,12-02-2024,N/A,nodir.karimov@company.com
1101,Dilnoza,RASHIDOV,SALES,USA,06-06-2015,N/A,dilnoza.rashidov@company.com
1102,Nodir,KARIMOV,finance,U.S.A.,2018-05-18,n/a,nodir.karimov@company.com
1103,Anna,Nazarova,HR,U.S.A.,22/01/2023,,anna.nazarova@company.com
1104,Liam,KARIMOV,MARKETING,Uzbekistan,19.05.2019,"9116,00",liam.karimov@company.com
1105,Dilnoza,Johnson,IT,USA,07-01-2015,n/a,dilnoza.johnson@company.com
1105,Dilnoza,Johnson,IT,USA,07-01-2015,n/a,dilnoza.johnson@company.com
1106,Olga,Smith,,U.S.A.,29/06/2015,,olga.smith@company.com
1107,Jack,Rashidov,Sales,GERMANY,2018-01-24,n/a,jack.rashidov@company.com
1108,  Liam  ,Nazarova,finance,uzbekistan,26.02.2023,,liam.nazarova@company.com
1109,Nodir,LEE,Marketing,GERMANY,2020-01-06,n/a,nodir.lee@company.com
1110,Farrukh,Smith,SALES,france,23/05/2015,"9001,00",farrukh.smith@company.com
1111,  Liam  ,Tanaka, sales ,USA,12-08-2020,$8150,liam.tanaka@company.com
1112,Dilnoza,Brown,finance,france,05-28-2017,$6279,dilnoza.brown@company.com
1113,Kamola,Rashidov, sales ,Germany,12-29-2024,,kamola.rashidov@company.com
1114,Liam,Nazarova,HR,GERMANY,29/03/2020,N/A,liam.nazarova@company.com
1115,  Chen  ,Lee,IT,uzbekistan,18.01.2020,,chen.lee@company.com
1116,Bob,Karimov,,USA,30/05/2018,"6694,00",bob.karimov@company.com
1117,Ivy,LEE,finance,uzbekistan,20/08/2020,,
1118,Ivy,Yusupova,HR,France,2021-12-06,n/a,ivy.yusupova@company.com
1119,Chen,Smith,SALES,france,30.08.2019,,chen.smith@company.com
